word,gpt5mini_draw_s,gpt5mini_guess_s,gpt5mini_total_s,gpt5mini_guess_requests,gpt5mini_source,gpt54mini_draw_s,gpt54mini_guess_s,gpt54mini_total_s,gpt54mini_guess_requests,gpt54mini_source
shark,22.107,11.998,34.105,1,latest_trace,33.93,3.072,37.002,1,latest_trace
car,21.51,7.718,29.228,1,latest_trace,4.837,3.611,8.448,1,latest_trace
mars,19.733,9.798,29.531,1,latest_trace,12.817,3.972,16.789,1,latest_trace
ocean,45.894,10.798,56.692,1,latest_trace,7.507,5.42,12.927,1,latest_trace
forest,37.112,6.395,43.507,1,latest_trace,5.707,4.351,10.058,1,latest_trace
whisper,16.581,7.475,24.056,1,latest_trace,16.504,3.844,20.348,1,latest_trace
nervous,22.186,10.813,32.999,1,latest_trace,7.253,4.577,11.83,1,latest_trace
thunder,15.529,7.196,22.725,1,latest_trace,4.315,24.117,28.432,1,latest_trace
rocket,43.677,13.493,57.17,1,latest_trace,5.177,15.14,20.317,2,latest_trace
harvest,22.198,9.895,32.093,1,latest_trace,20.313,10.852,31.165,1,latest_trace
wander,24.333,6.424,30.757,1,latest_trace,13.415,4.274,17.689,1,latest_trace
bitter,36.064,7.066,43.13,1,latest_trace,28.482,8.441,36.923,1,latest_trace
youtube,30.874,5.895,36.769,1,latest_trace,4.838,6.512,11.35,1,latest_trace
minecraft,92.15,7.545,99.695,1,latest_trace,6.044,3.115,9.159,1,latest_trace
money,25.582,10.275,35.857,1,latest_trace,11.484,3.016,14.5,1,latest_trace
tokyo,27.866,8.124,35.99,1,latest_trace,9.082,4.695,13.777,1,latest_trace
vivid,23.899,10.024,33.923,1,latest_trace,16.049,4.65,20.699,1,latest_trace
build,104.094,7.401,111.495,1,latest_trace,6.41,3.572,9.982,1,latest_trace
time,21.021,7.244,28.265,1,latest_trace,4.554,4.389,8.943,1,latest_trace
chaotic,49.622,9.23,58.852,1,latest_trace,6.251,8.956,15.207,1,latest_trace
gorilla,39.955,10.637,50.592,1,latest_trace,13.643,5.274,18.917,1,latest_trace
leopard,34.162,9.791,43.953,1,latest_trace,10.317,7.09,17.407,1,latest_trace
sloth,33.239,10.004,43.243,1,latest_trace,19.299,7.456,26.755,1,latest_trace
sequoia,,,339.445,,game_summary_fallback,14.365,8.932,23.297,1,latest_trace
saturn,312.977,10.322,323.299,1,latest_trace,3.803,3.905,7.708,1,latest_trace
kiwi,40.544,11.07,51.614,1,latest_trace,15.267,3.239,18.506,1,latest_trace
pitaya,27.582,11.569,39.151,1,latest_trace,5.242,5.268,10.51,1,latest_trace
papaya,20.412,7.77,28.182,1,latest_trace,4.886,2.341,7.227,1,latest_trace
Pantheon,39.529,8.174,47.703,1,latest_trace,5.72,4.315,10.035,1,latest_trace
bus,22.775,9.442,32.217,1,latest_trace,4.694,3.681,8.375,1,latest_trace
guitar,19.295,13.68,32.975,1,latest_trace,6.125,5.016,11.141,1,latest_trace
glass,20.281,6.2,26.481,1,latest_trace,5.914,3.667,9.581,1,latest_trace
toothbrush,21.894,10.644,32.538,1,latest_trace,6.101,18.474,24.575,1,latest_trace
coffee,38.825,7.582,46.407,1,latest_trace,6.101,6.092,12.193,1,latest_trace
gym,20.638,7.726,28.364,1,latest_trace,8.937,4.245,13.182,1,latest_trace
labyrinth,17.284,7.784,25.068,1,latest_trace,16.221,8.085,24.306,1,latest_trace
queen,20.003,8.886,28.889,1,latest_trace,7.172,7.34,14.512,1,latest_trace
freedom,,,70.824,,game_summary_fallback,6.643,3.94,10.583,1,latest_trace
bravery,20.549,6.437,26.986,1,latest_trace,29.477,3.372,32.849,1,latest_trace
rainbow,17.757,8.937,26.694,1,latest_trace,23.521,5.892,29.413,1,latest_trace
drive,44.866,7.48,52.346,1,latest_trace,6.687,4.856,11.543,1,latest_trace
study,15.287,7.938,23.225,1,latest_trace,9.082,4.899,13.981,1,latest_trace
science,18.601,8.979,27.58,1,latest_trace,9.947,3.188,13.135,1,latest_trace
engineering,39.891,11.69,51.581,1,latest_trace,18.059,4.09,22.149,1,latest_trace
programming,30.314,6.685,36.999,1,latest_trace,7.468,6.22,13.688,1,latest_trace
developer,46.931,8.22,55.151,1,latest_trace,26.691,4.411,31.102,1,latest_trace
fighter,39.835,8.952,48.787,1,latest_trace,11.256,3.962,15.218,1,latest_trace
sing,22.552,7.72,30.272,1,latest_trace,8.859,3.342,12.201,1,latest_trace
