word,gpt5-mini-medium,gpt54-mini-medium
shark,11.998,3.072
car,7.718,3.611
mars,9.798,3.972
ocean,10.798,5.42
forest,6.395,4.351
whisper,7.475,3.844
nervous,10.813,4.577
thunder,7.196,24.117
rocket,13.493,15.14
harvest,9.895,10.852
wander,6.424,4.274
bitter,7.066,8.441
youtube,5.895,6.512
minecraft,7.545,3.115
money,10.275,3.016
tokyo,8.124,4.695
vivid,10.024,4.65
build,7.401,3.572
time,7.244,4.389
chaotic,9.23,8.956
gorilla,10.637,5.274
leopard,9.791,7.09
sloth,10.004,7.456
sequoia,,8.932
saturn,10.322,3.905
kiwi,11.07,3.239
pitaya,11.569,5.268
papaya,7.77,2.341
Pantheon,8.174,4.315
bus,9.442,3.681
guitar,13.68,5.016
glass,6.2,3.667
toothbrush,10.644,18.474
coffee,7.582,6.092
gym,7.726,4.245
labyrinth,7.784,8.085
queen,8.886,7.34
freedom,,3.94
bravery,6.437,3.372
rainbow,8.937,5.892
drive,7.48,4.856
study,7.938,4.899
science,8.979,3.188
engineering,11.69,4.09
programming,6.685,6.22
developer,8.22,4.411
fighter,8.952,3.962
sing,7.72,3.342
eat,7.063,15.923
think,12.22,3.558
reflection,6.505,3.344
read,5.88,3.728
run,14.465,4.126
inspire,8.621,4.625
tennis,8.255,3.137
golf,7.226,3.932
soccer,13.299,10.856
screwdriver,9.952,3.894
wardrobe,9.231,5.184
piano,9.669,8.678
beautiful,7.041,7.247
fall,10.355,4.855
investment,8.676,7.412
software,12.538,2.718
tower,6.839,4.147
brazil,6.317,2.868
wind,7.571,4.482
jellyfish,18.277,3.779
parrot,6.641,4.009
amsterdam,7.812,7.849
gold,7.209,4.395
fire,11.129,3.15
igloo,17.577,7.803
luigi,8.867,3.931
pikachu,11.453,4.18
sonic,10.276,4.575
maman,,3.178
dragonfly,10.605,4.417
funny,8.443,5.718
mitochondria,13.779,10.989
atom,8.236,2.851
algae,10.706,3.129
galaxy,8.063,2.302
vampire,9.897,7.419
werewolf,9.303,4.172
generator,7.785,3.848
bulldozer,13.256,3.659
forklift,10.187,2.566
tractor,9.382,3.206
checkmate,7.743,1.739
salvation,7.279,4.398
renaissance,10.198,3.995
enlightenment,11.438,5.786
hologram,9.534,3.124
paradox,9.264,6.928
supernova,5.305,4.109
blackhole,13.627,7.746
surrealism,5.788,9.084
feudalism,12.994,3.095
democracy,9.296,3.377
